# looprun 1.3 stage times (LOOP-3): one row per stage per round, and round 0 is S2/S3, which run once.
# start_raw/end_raw: absolute CLOCK_MONOTONIC_RAW, the clock console-capture 1.5 stamps on (1.2 wrote start_mono/end_mono, CLOCK_MONOTONIC: CLK-38).
# seconds = end_raw - start_raw.  rc is the command's exit status, empty for the in-process S5c, S8 and S9 and for a skipped stage.  result is ok, FAIL and the ids of the assertions that failed, or skipped.
# cell=R1Q attempt=1 iterations=1 skip=S2,S3,S4 boot-until='job control turned off[^#]{1,2}# ' boot-seconds=45 dwell-seconds=2.5
# clock=CLOCK_MONOTONIC_RAW boot_id=e01f8996-1dc3-4938-96e9-3fcf0014c7a9 clocksource=tsc start_raw=340.344167 mono_at_start=335.666517 start_real=1790342766.483451
round	stage	name	kind	start_raw	end_raw	seconds	rc	result
0	S2	build	desk					skipped
0	S3	assemble	desk					skipped
1	S4	reset	bench					skipped
1	S5	rescue	bench	340.357116	340.601817	0.244701	0	ok
1	S5b	burnflag	bench	340.607768	342.775603	2.167836	0	ok
1	S5c	hostlink	bench	342.784838	343.883463	1.098625		ok
1	S6	upload	bench	343.895926	345.783587	1.887662	0	ok
1	S6b	staged	bench	345.787270	348.000283	2.213014	0	ok
1	S7	boot	bench	348.008889	358.951258	10.942369	0	ok
1	S8	assert	desk	358.960243	358.960275	0.000031		ok
1	S9	dwell	bench	358.963422	361.451855	2.488432		ok
# end: end_raw=361.463822 mono_at_end=356.191180 end_real=1790342787.008113 clocksource_end=tsc
# status: closed -- 1 of 1 round(s), every assertion held
