# looprun 1.3 stage times (LOOP-3): one row per stage per round, and round 0 is S2/S3, which run once.
# start_raw/end_raw: absolute CLOCK_MONOTONIC_RAW, the clock console-capture 1.5 stamps on (1.2 wrote start_mono/end_mono, CLOCK_MONOTONIC: CLK-38).
# seconds = end_raw - start_raw.  rc is the command's exit status, empty for the in-process S5c, S8 and S9 and for a skipped stage.  result is ok, FAIL and the ids of the assertions that failed, or skipped.
# cell=R1Q attempt=1 iterations=1 skip=S2,S3,S4 boot-until='job control turned off[^#]{1,2}# ' boot-seconds=45 dwell-seconds=2.5
# clock=CLOCK_MONOTONIC_RAW boot_id=062e7e69-fb9a-4a67-8f71-e6874cc468a9 clocksource=tsc start_raw=616.085574 mono_at_start=598.257669 start_real=1790420820.677638
round	stage	name	kind	start_raw	end_raw	seconds	rc	result
0	S2	build	desk					skipped
0	S3	assemble	desk					skipped
1	S4	reset	bench					skipped
1	S5	rescue	bench	616.103627	616.368894	0.265268	0	ok
1	S5b	burnflag	bench	616.384461	618.628427	2.243966	0	ok
1	S5c	hostlink	bench	618.638952	619.690902	1.051950		ok
1	S6	upload	bench	619.702350	624.809019	5.106669	0	ok
1	S6b	staged	bench	624.818053	627.088098	2.270044	0	ok
1	S7	boot	bench	627.096231	638.096691	11.000460	0	ok
1	S8	assert	desk	638.106284	638.106316	0.000032		ok
1	S9	dwell	bench	638.109366	640.596903	2.487538		ok
# end: end_raw=640.601908 mono_at_end=621.916400 end_real=1790420845.511406 clocksource_end=tsc
# status: closed -- 1 of 1 round(s), every assertion held
