id	family	quantity	class	kind	A_values	A_n	A_raw_median	A_raw_min	A_raw_max	A_corr_median	A_corr_rule	spread	contains0	under20ms	s310	stable	reasons	load_bearing	B_rule	A_source	adjudication
SEG|loader|-|cold|loader.booting	SEG	loader loader.booting	cold	board	0.347712,0.347531,0.355722,0.347621,0.346239,0.348338,0.348163,0.348702,0.348212,0.343924,0.348645,0.346918	12	0.347938	0.343924	0.355722	0.355962	r_best per catch (f5-best.tsv)	0.022373	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (loader records: M1-BOOT,M2-A,P1-A,P2-A,P3-A,V1-A,V2-A,V3-A,V4-A,V5-A,V6-A,V7-A); s109/segtable.tsv; s106/c-clock/f5-best.tsv	
SEG|loader|-|cold|loader.banner	SEG	loader loader.banner	cold	board	0.572643,0.572033,0.586139,0.572666,0.570576,0.573338,0.572912,0.573108,0.572387,0.566361,0.573193,0.571129	12	0.572655	0.566361	0.586139	0.586127	r_best per catch (f5-best.tsv)	0.023547	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (loader records: M1-BOOT,M2-A,P1-A,P2-A,P3-A,V1-A,V2-A,V3-A,V4-A,V5-A,V6-A,V7-A); s109/segtable.tsv; s106/c-clock/f5-best.tsv	raw median: the exact median is x.5 us (v_seg.out); the brief's convention names no rounding mode, so segtable.md's printed value is kept (the spec's SEG source; card B § 3.7 prints the same) - A1; A2 printed half-even; class unaffected
SEG|loader|-|cold|loader.esc	SEG	loader loader.esc	cold	board	5.121936	1	5.121936	5.121936	5.121936	5.237582	r_best per catch (f5-best.tsv)	0.000000	N	N	listed	N	listed	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (loader records: M1-BOOT); s109/segtable.tsv; s106/c-clock/f5-best.tsv	
SEG|loader|-|warm|loader.booting	SEG	loader loader.booting	warm	board	0.347327,0.351015,0.352177,0.352139,0.350521,0.351092,0.351610,0.347363,0.347171,0.345333,0.346812,0.347425,0.341474	13	0.347425	0.341474	0.352177	0.355963	r_best per catch (f5-best.tsv)	0.017129	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (loader records: M2-BOOT,P1-RZ,P1L-r02-rz,P1L-r03-rz,P1Q-r02-rz,P1Q-r03-rz,P1Q-r04-rz,P2Q-r02-rz,P3Q-r02-rz,V4-WZ,V5-WZ,V6-WZ,V7-WZ); s109/segtable.tsv; s106/c-clock/f5-best.tsv	
SEG|loader|-|warm|loader.banner	SEG	loader loader.banner	warm	board	0.580757,0.587803,0.588975,0.588883,0.587734,0.589023,0.587553,0.582207,0.581185,0.578614,0.581304,0.582232,0.572747	13	0.582232	0.572747	0.589023	0.596025	r_best per catch (f5-best.tsv)	0.016291	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (loader records: M2-BOOT,P1-RZ,P1L-r02-rz,P1L-r03-rz,P1Q-r02-rz,P1Q-r03-rz,P1Q-r04-rz,P2Q-r02-rz,P3Q-r02-rz,V4-WZ,V5-WZ,V6-WZ,V7-WZ); s109/segtable.tsv; s106/c-clock/f5-best.tsv	
SEG|loader|-|warm|loader.esc	SEG	loader loader.esc	warm	board	5.102142	1	5.102142	5.102142	5.102142	5.237048	r_best per catch (f5-best.tsv)	0.000000	N	N	listed	N	listed	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (loader records: M2-BOOT); s109/segtable.tsv; s106/c-clock/f5-best.tsv	
SEG|rlxfw|loud|cold|rtkload.decompress	SEG	rlxfw loud rtkload.decompress	cold	board	1.231281	1	1.231281	1.231281	1.231281	1.248637	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|rtkload.total	SEG	rlxfw loud rtkload.total	cold	board	1.246918	1	1.246918	1.246918	1.246918	1.264494	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|kernel.early	SEG	rlxfw loud kernel.early	cold	board	1.505786	1	1.505786	1.505786	1.505786	1.527011	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|kernel.wlan	SEG	rlxfw loud kernel.wlan	cold	board	5.140987	1	5.140987	5.140987	5.140987	5.213454	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|kernel.nic	SEG	rlxfw loud kernel.nic	cold	board	1.224543	1	1.224543	1.224543	1.224543	1.241804	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|kernel.late	SEG	rlxfw loud kernel.late	cold	board	3.140063	1	3.140063	3.140063	3.140063	3.184325	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|kernel.total	SEG	rlxfw loud kernel.total	cold	board	11.011379	1	11.011379	11.011379	11.011379	11.166595	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|rlxfw.setup	SEG	rlxfw loud rlxfw.setup	cold	board	0.275227	1	0.275227	0.275227	0.275227	0.279107	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|rlxfw.initpost	SEG	rlxfw loud rlxfw.initpost	cold	board	0.012049	1	0.012049	0.012049	0.012049	0.012219	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	Y	-	N	under20ms	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|user.ready	SEG	rlxfw loud user.ready	cold	board	0.116240	1	0.116240	0.116240	0.116240	0.117879	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|cold|boot.jump_to_ready	SEG	rlxfw loud boot.jump_to_ready	cold	board	12.374537	1	12.374537	12.374537	12.374537	12.548968	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000000	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|rtkload.decompress	SEG	rlxfw loud rtkload.decompress	warm	board	1.229789,1.230047	2	1.229918	1.229789	1.230047	1.247255	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000105	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|rtkload.total	SEG	rlxfw loud rtkload.total	warm	board	1.242329,1.242191	2	1.242260	1.242191	1.242329	1.259771	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000056	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|kernel.early	SEG	rlxfw loud kernel.early	warm	board	1.504232,1.503630	2	1.503931	1.503630	1.504232	1.525130	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000200	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
