# tools/toolchain-census.tsv -- the adjudication half of `R1-pub-0b`'s census.
#
# `tools/tccensus.py` derives the POPULATION from two instruments and checks
# this table against it in both directions.  It IMPORTS `tools/isacensus.py`
# for the join machinery rather than restating it; the reasons are in its
# docstring and they are measured, not preferences.
#
# POPULATION
#   r2c  one RECORDED TOOLCHAIN FINDING -- every `TC-*` id `SPEC.md` carries,
#        through `tools/spec-check.py`'s own parser.  量 2026-09-12: 48 in
#        § 14 and one, `TC-h`, that exists only in § 17's blank list.
#   r2t  one TOOLCHAIN RELEASE -- every `CONFIG_RSDK_*` line in
#        `config/rlxfw-sdk.config`, selected or not.  A release this project
#        can name and does not have is a `declared` row with a cite.
#
# ROUTES.  These are NOT the ISA census's four and must not be read across.
#   r1  量 at the DESK -- a toolchain program was executed, or an artefact it
#       produced was executed, and the result measured.  On this axis the
#       strongest route costs no power, which is why § 6's scope answer comes
#       out the way it does.
#   r2  量 on an ARTEFACT -- a shipped binary or a device reading was READ and
#       a toolchain property inferred.  Nothing was executed.
#   r3  讀 vendor material -- a Makefile, a wrapper log, a `.config`, source,
#       or a vendor patch says so.  Nothing was executed and nothing was read
#       out of a binary.
#   (all three `.` is route 4 -- no evidence of any class)
#
#   p   ⓟ PUBLIC PRIOR ART.  The ISA census has no such column and the
#       difference is structural: `R1-pub`'s claim is *this is not in public
#       data*, which holds for the die and largely does not for the toolchain.
#       `p=y` means a public source STATES this row's finding -- not that the
#       material is public, and not that someone could derive it.  Every `y`
#       carries a `pub=` cite.  The column is a LOWER bound: it was
#       adjudicated only where a concrete public source was read.
#
#   mx  a declared disagreement with `SPEC.md`'s own V mark.  `L12` computes
#       the strongest route a mark supports (量 -> 1, 讀 -> 2, 文 -> 3,
#       推/— -> 4) and requires anything stronger to be declared here.  量
#       2026-09-12: eighteen rows need it and fifteen are ONE shape -- V=讀
#       on a row whose evidence is a desk EXECUTION, several of whose value
#       cells open with the character 量.  `SPEC.md`'s mark legend is written
#       for readings about the DEVICE; on this axis "a compiler was run" has
#       no mark of its own.
#
# `subj` -- tc (the build side: a toolchain, a drop, the build system), die
# (this silicon), or both.  The step table asks every row for this in those
# words, so there is no `-`.
#
# Tab separated.  No `|` in any cell: the note column is rendered into a
# markdown table and `spec-check`'s C8 counts cells by pipe.
kind	name	src	subj	r1	r2	r3	p	mx	spec	seat	cite	note
r2c	TC-01	derived	tc	.	y	y	.	.	TC-09	-	-	this unit's own kernel banner, and `TC-09` finds the same string in a shipped `boa`'s `.comment` -- two artefacts. The toolchain itself has never been run here: the only 1.5.5 on hand is 5281/p4 and this unit is 4181/p2
r2c	TC-02	derived	tc	.	y	.	.	y	TC-02a	-	-	the banner match is evidence on artefacts and the CONCLUSION is a hypothesis until `R2a`; `SPEC.md` marks the value 推 for the conclusion, which is why the route disagrees with the mark
r2c	TC-02a	derived	tc	.	y	.	.	y	TC-02	-	-	the corpus matrix EXCLUDES the 2019/2020 generation and bounds the rest; six shipped images cannot say which source release sat on the build machine, so the exclusions are 量 and the identification stays 推
r2c	TC-03	derived	tc	.	.	y	.	y	TC-02	-	-	the drop's target board is read out of the drop; that DDR timing, PHY and GPIO may therefore differ is the conjecture the mark is about, and getting it wrong need not crash
r2c	TC-04	derived	tc	.	y	.	.	.	CPU-16	-	-	`e_flags` read out of six shipped `boa`, spanning the 2018-03-30 to 2019-03-15 change from `0x1007` with pic to `0x1005`. A header field, not an execution
r2c	TC-05	derived	tc	.	.	.	.	.	TC-14	-	-	a DECISION, and half of it is still blank. The environment half closed 2026-08-28; the userspace half is `R7` and the never-built T-modern column is `R2c` itself
r2c	TC-06	derived	tc	y	.	.	y	.	TC-07	-	pub=gcc.gnu.org onlinedocs MIPS Options -mfp32	`mips-linux-gnu-gcc-12` executed here. That `-march=mips1` alone is refused is upstream gcc behaviour and is documented, so this row is public prior art as well as ours
r2c	TC-07	derived	tc	y	.	.	.	.	TC-06	-	-	the same C at two `-march` on gcc-12, with the object's existence as its own control -- a zero that never compiled looks like a zero that did
r2c	TC-08	derived	both	y	.	y	y	.	CPU-46	-	pub=MIPS IV Instruction Set Rev 3.2 A 8.3.4	binutils 2.42 executed here, and COP3's ISA-level history is in the published MIPS IV manual. The die half is `CPU-46`
r2c	TC-09	derived	tc	.	y	.	.	.	TC-01	-	-	`.comment` survives in two of six trees and carries `TC-01`'s exact string. A second independent artefact -- userland against kernel -- and a read, not a run
r2c	TC-10	derived	tc	.	y	.	.	.	TC-12	-	-	the 2+2+2 container partition, entirely from ELF metadata with no similarity measure involved. It is the control that `TC-12`'s clustering is not an artefact of the ruler
r2c	TC-11	derived	tc	.	y	.	.	.	TC-12	-	-	the ruler's own calibration. `binsim` READS binaries, it does not execute them, which is why this is route 2 on an axis where route 1 means something ran
r2c	TC-12	derived	tc	.	y	.	.	.	TC-10	-	-	three clusters, cell for cell identical to `TC-10`'s container fingerprints, and this unit's nearest neighbour at 0.9818 against 0.8951
r2c	TC-13	derived	tc	y	.	y	y	y	CPU-18	-	pub=gist c07dd5e3745f90b45e5ed6c1e86fde41 opcodes/mips-opc.c	🔴 the vendor assembler RUN at eight `-march` values over twenty instructions, 160 cells with two controls. Its answers are a lookup of a hand-maintained flag word, and the public Lexra patch holds that word -- see § 7
r2c	TC-14	derived	tc	y	.	.	.	y	TC-16	-	-	all three wrappers executed. `FATAL: -march mismatch` with exit 1 and no output file is an execution result, and the directory name is NOT the raw driver's default
r2c	TC-15	derived	tc	y	.	.	y	y	TC-21	-	pub=gcc-4.8.4 Lexra patch INSN_RLXB and -mno-bdsl	the compiler executed, six `-march`, nop-after-load counted. The public gcc Lexra patch states the same split from the other side, and `SOURCES.json` has described it since before this row existed
r2c	TC-16	derived	tc	y	.	.	.	y	TC-14	-	-	`tc-smoke`'s four rungs, all three releases reaching the top, plus three real builds. The nine encoded words hashing identically across all three is the control that the rungs measured the same thing
r2c	TC-17	derived	tc	.	.	y	.	.	TC-14	-	-	three drops' top-level `.config` read. Nothing executed, and the control is that each file carries three independent lines naming the same release
