# tools/isa-payload.tsv -- the population `probe4` probes, one row per encoding.
#
# THIS IS THE OWNER.  `tools/isapay.py emit` generates the payload's cells and
# its row table from this file; nothing else may declare a probed encoding.
#
# WHY THIS IS NOT `tools/isa-census.tsv`.  That file is the PRIOR-ART census
# (`R1-pub-0`) and `docs/isa-prior-art.md` § 0 states in its own words that it
# "does not claim ... that the population is the ISA" and that "an instruction
# this core obviously has, and that the loader executes thousands of times per
# boot, gets no row".  The instructions it excludes by that rule are exactly
# `R1a`'s POSITIVE CONTROL -- `plan/router-rebuild-plan.md:1013`, restated as a
# pass condition at `:1074`.  So the payload's population is rebuilt from the
# plan's nine groups and then JOINED to the census, in both directions, by
# `isapay.py population`.  A row in one and not the other is a reportable
# difference, never a silent one.
#
# COLUMNS (tab-separated; no `|` anywhere -- `spec-check` C8 counts cells by pipe)
#
#   group    plan group this row belongs to.  `isapay population` checks every
#            plan group has at least one row, so deleting a group is loud.
#   name     unique.  Joined against `tools/isa-census.tsv`'s `name`.
#   shape    which cell template the generator instantiates.
#   fields   the encoding, as fields.  `isapay encode` builds a word from these.
#   word     the same encoding, as a literal.  WRITTEN BY HAND.  `encode`
#            refuses if the two disagree -- and `isapay verify` disassembles the
#            BUILT ARTEFACT and refuses if binutils decodes it as anything but
#            this row, which is the third and only conceptually independent
#            source.
#   in_a     -> $8    hex
#   in_b     -> $9    hex
#   mem0     -> the word at 0($10)   hex
#   mem1     -> the word at 4($10)   hex
#   seed     -> $2 before the probed instruction.  A row whose `expect` equals
#            its `seed` is REFUSED: "wrote the right answer" and "wrote nothing"
#            would be one reading.
#   read     which recorded word `expect` is about: gpr / m0 / m1 / aux.
#   expect   the single computable constant.  `-` for a row with no answer.
#   qemu     PRE-REGISTERED prediction for the qemu leg: run / trap.
#   why      one line.  No tabs, no pipes.
#
group	name	shape	fields	word	in_a	in_b	mem0	mem1	seed	read	expect	qemu	why
baseline	add	alu	op=0,rs=8,rt=9,rd=2,fn=0x20	0x01091020	0x12345678	0x11111111	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	0x23456789	run	POSITIVE CONTROL. Operands chosen not to overflow -- a trap here would be a table defect wearing a measurement's clothes
baseline	lw	load	op=0x23,rs=10,rt=2,imm=0	0x8D420000	0x12345678	0x11111111	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	0xA5A5F00D	run	POSITIVE CONTROL for the load path. The loader executes thousands of these per boot
baseline	sw	store	op=0x2B,rs=10,rt=9,imm=0	0xAD490000	0x12345678	0x5A5A0FF2	0xA5A5F00D	0x00000000	0xDEADBEEF	m0	0x5A5A0FF2	run	POSITIVE CONTROL for the store path, and the only baseline row read out of memory rather than a register
baseline	mult	hilo	op=0,rs=8,rt=9,fn=0x18	0x01090018	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	0x23456780	run	POSITIVE CONTROL. in_b is 16 so the product is in_a shifted left four -- both halves checkable by eye
baseline	mult_hi	hilo	op=0,rs=8,rt=9,fn=0x18	0x01090018	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	aux	0x00000001	run	The SAME encoding read from HI. A separate row because the plan says one row carries one computable answer
baseline	beq	branch	op=4,rs=8,rt=9,imm=4	0x11090004	0x0000002A	0x0000002A	0x00000000	0x00000000	0xDEADBEEF	gpr	0x00000600	run	POSITIVE CONTROL for control flow. Operands equal so the branch is TAKEN -- every branch row in this table expects TAKEN, so no row's RIGHT can coincide with its pre-set value
baseline	jr	jr	op=0,rs=11,fn=0x08	0x01600008	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	0x00000600	run	POSITIVE CONTROL for the register jump. The target is formed in $11 with lui/addiu, which is start.S's own idiom
reserved	special0e	alu	op=0,fn=0x0E	0x0000000E	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	0xDEADBEEF	trap:0x0A	C2, 量 2026-08-29 ExcCode 0x0A on this die. expect EQUALS seed on purpose: a checker that reads the value and not the exception count says RIGHT here, and RIGHT voids the table. If it RETIRES, SPECIAL 0x0E is a Lexra ASE operation -- a finding in its own right, and the table is still void because the RI path is then unproven
unaligned	lwl	load	op=0x22,rs=10,rt=2,imm=1	0x89420001	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0x11223344	gpr	0xA5F00D44	run	Lexra is said to have removed the unaligned group. This row and the next three decide F51 and the 144 sites in the vendor's boa
unaligned	lwr	load	op=0x26,rs=10,rt=2,imm=4	0x99420004	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0x11223344	gpr	0x1122335A	run	At byte 0 of the second word, so one byte is loaded and three are kept from the seed
