# tools/citecheck-baseline.tsv -- the rot that was already there.
#
# Generated by `tools/citecheck.py --write-baseline` and reviewed by
# hand.  A row here says: this citation is rotted, it is KNOWN, and it
# is not what this gate is looking for.  The gate fails on anything
# new.
#
# 🔴 KEYED ON CONTENT, NOT ON A LINE NUMBER.  A baseline keyed on the
# line a citation points at would rot exactly like the citations it
# describes.  The key is
#
#     kind  citing-file  cited-path  cited-line  sha256-16
#
# where the digest is of the cited row's content AT THE COMMIT THAT
# LAST WROTE THE CITING LINE.  Repair the citation and the citing
# line's blame moves, the digest changes, and the row stops matching
# -- which citecheck's C4 REPORTS, because a baseline that can only
# grow is a list nobody reads.  Delete the row in the same commit as
# the repair.
#
# The note column is not part of the key.  It is the first 70
# characters of the row as it read when the citation was written, so a
# reviewer can see what the citation was for without running git.
#
# kind	citing-file	cited-path	cited-line	sha256-16	the row, then
M3	PROGRESS.md	docs/probe3-cells.md	1955	366453e0f608a85e	docs/probe3-cells.md:1955 is a blank line
M3	PROGRESS.md	docs/rlx-cache-and-cp0.md	777	9a441b99cea9b7c6	docs/rlx-cache-and-cp0.md:777 is a blank line
M3	PROGRESS.md	tools/check-predictions.py	50	d6d8a07f8241682c	tools/check-predictions.py:50 is a blank line
M3	SPEC.md	config/rlxfw-src/linux-2.6.30/drivers/clocksource/rtl819x-timer.c	471	55ce45b90472365b	config/rlxfw-src/linux-2.6.30/drivers/clocksource/rtl819x-timer.c:471 
M3	SPEC.md	tools/console-capture.py	431	bc270a8e75d0c313	tools/console-capture.py:431 is a blank line
M3	docs/rlx-cache-and-cp0.md	docs/probe3-cells.md	1293	68ec71163e2f0d85	docs/probe3-cells.md:1293 is a blank line
ROT	CLAUDE.md	tools/ci-expected.tsv	142	e8db9a299a0f1289	# -- deliberately, because hazlint is *bench-only* for exactly the opp
ROT	PROGRESS.md	config/rlxfw-kernel.delta	82	5ff8ac5ee469b923	derive CONFIG_GENERIC_GPIO - y selected drivers/gpio/Kconfig:31 -- `me
ROT	PROGRESS.md	LOG.md	5859	6917a92bf34bfd3d	| ⑮ | **`isa-probe` 的 suite 有三個洞**：把 POS／NEG 控制只跑第一欄可以 40／40 全過（然後對一個根
ROT	PROGRESS.md	docs/FINDINGS.md	375	bb2be593c5112831	| 🔴 讀 | **`arch/rlx/bsp` is a dangling symlink in two of the three GPL
ROT	PROGRESS.md	SOURCES.json	195	c6d73b3361c318dd	"pinmux": "sec 6.1 Configuration upon Power-On Strapping, sec 6.2 Shar
ROT	PROGRESS.md	tools/ledgerscan.py	505	adcf3fd1b132405c	depth = "line" if withln else "name"
ROT	PROGRESS.md	config/rlxfw-src/linux-2.6.30/drivers/clocksource/rtl819x-timer.c	476	20901d98fdbb85c2	* They are different quantities that must agree: the first descends fr
ROT	PROGRESS.md	tools/rlxfw-kbuild.sh	203	843497a555cbe23d	# anti-DoD's build-stamp leg loses its "WHICH of my builds" role the m
ROT	PROGRESS.md	tools/opcount.py	44	e29c0e802df78873	# 0x13 read ("COP1X", "MIPS-IV") until 2026-08-27, which is the answer
ROT	PROGRESS.md	docs/loader-command-semantics.md	1054	02497b0b5a347d69	provoke** — `J <addr>` clears `IE` and zeroes `GIMR0` before entering
